PATTERN: 0xff00
PING 142.250.192.142 (142.250.192.142) 56(84) bytes of data.
64 bytes from 142.250.192.142: icmp_seq=1 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=2 ttl=111 time=81.1 ms
64 bytes from 142.250.192.142: icmp_seq=3 ttl=111 time=219 ms
64 bytes from 142.250.192.142: icmp_seq=4 ttl=111 time=104 ms
64 bytes from 142.250.192.142: icmp_seq=5 ttl=111 time=75.8 ms
64 bytes from 142.250.192.142: icmp_seq=6 ttl=111 time=94.4 ms
64 bytes from 142.250.192.142: icmp_seq=7 ttl=111 time=75.8 ms
64 bytes from 142.250.192.142: icmp_seq=8 ttl=111 time=128 ms
64 bytes from 142.250.192.142: icmp_seq=9 ttl=111 time=111 ms
64 bytes from 142.250.192.142: icmp_seq=10 ttl=111 time=92.6 ms
64 bytes from 142.250.192.142: icmp_seq=11 ttl=111 time=92.5 ms
64 bytes from 142.250.192.142: icmp_seq=12 ttl=111 time=224 ms
64 bytes from 142.250.192.142: icmp_seq=13 ttl=111 time=99.6 ms
64 bytes from 142.250.192.142: icmp_seq=14 ttl=111 time=85.9 ms
64 bytes from 142.250.192.142: icmp_seq=15 ttl=111 time=107 ms
64 bytes from 142.250.192.142: icmp_seq=16 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=17 ttl=111 time=65.1 ms
64 bytes from 142.250.192.142: icmp_seq=18 ttl=111 time=94.8 ms
64 bytes from 142.250.192.142: icmp_seq=19 ttl=111 time=91.9 ms
64 bytes from 142.250.192.142: icmp_seq=20 ttl=111 time=99.9 ms
64 bytes from 142.250.192.142: icmp_seq=21 ttl=111 time=120 ms
64 bytes from 142.250.192.142: icmp_seq=22 ttl=111 time=117 ms
64 bytes from 142.250.192.142: icmp_seq=23 ttl=111 time=123 ms
64 bytes from 142.250.192.142: icmp_seq=24 ttl=111 time=136 ms
64 bytes from 142.250.192.142: icmp_seq=25 ttl=111 time=151 ms
64 bytes from 142.250.192.142: icmp_seq=26 ttl=111 time=156 ms
64 bytes from 142.250.192.142: icmp_seq=27 ttl=111 time=73.8 ms
64 bytes from 142.250.192.142: icmp_seq=28 ttl=111 time=82.6 ms
64 bytes from 142.250.192.142: icmp_seq=29 ttl=111 time=197 ms
64 bytes from 142.250.192.142: icmp_seq=30 ttl=111 time=107 ms
64 bytes from 142.250.192.142: icmp_seq=31 ttl=111 time=75.7 ms
64 bytes from 142.250.192.142: icmp_seq=32 ttl=111 time=163 ms
64 bytes from 142.250.192.142: icmp_seq=33 ttl=111 time=93.8 ms
64 bytes from 142.250.192.142: icmp_seq=34 ttl=111 time=86.3 ms
64 bytes from 142.250.192.142: icmp_seq=35 ttl=111 time=84.4 ms
64 bytes from 142.250.192.142: icmp_seq=36 ttl=111 time=81.2 ms
64 bytes from 142.250.192.142: icmp_seq=37 ttl=111 time=78.4 ms
64 bytes from 142.250.192.142: icmp_seq=38 ttl=111 time=107 ms
64 bytes from 142.250.192.142: icmp_seq=39 ttl=111 time=78.1 ms
64 bytes from 142.250.192.142: icmp_seq=40 ttl=111 time=63.9 ms
64 bytes from 142.250.192.142: icmp_seq=41 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=42 ttl=111 time=91.8 ms
64 bytes from 142.250.192.142: icmp_seq=43 ttl=111 time=1342 ms
64 bytes from 142.250.192.142: icmp_seq=44 ttl=111 time=1166 ms
64 bytes from 142.250.192.142: icmp_seq=45 ttl=111 time=1095 ms
64 bytes from 142.250.192.142: icmp_seq=46 ttl=111 time=1090 ms
64 bytes from 142.250.192.142: icmp_seq=47 ttl=111 time=1302 ms
64 bytes from 142.250.192.142: icmp_seq=48 ttl=111 time=1042 ms
64 bytes from 142.250.192.142: icmp_seq=49 ttl=111 time=978 ms
64 bytes from 142.250.192.142: icmp_seq=50 ttl=111 time=1063 ms
64 bytes from 142.250.192.142: icmp_seq=51 ttl=111 time=1077 ms
64 bytes from 142.250.192.142: icmp_seq=52 ttl=111 time=137 ms
64 bytes from 142.250.192.142: icmp_seq=53 ttl=111 time=85.9 ms
64 bytes from 142.250.192.142: icmp_seq=54 ttl=111 time=91.6 ms
64 bytes from 142.250.192.142: icmp_seq=55 ttl=111 time=80.8 ms
64 bytes from 142.250.192.142: icmp_seq=56 ttl=111 time=78.3 ms
64 bytes from 142.250.192.142: icmp_seq=57 ttl=111 time=89.5 ms
64 bytes from 142.250.192.142: icmp_seq=58 ttl=111 time=99.1 ms
64 bytes from 142.250.192.142: icmp_seq=59 ttl=111 time=95.2 ms
64 bytes from 142.250.192.142: icmp_seq=60 ttl=111 time=77.1 ms
64 bytes from 142.250.192.142: icmp_seq=61 ttl=111 time=75.2 ms
64 bytes from 142.250.192.142: icmp_seq=62 ttl=111 time=82.7 ms
64 bytes from 142.250.192.142: icmp_seq=63 ttl=111 time=93.1 ms
64 bytes from 142.250.192.142: icmp_seq=64 ttl=111 time=93.5 ms
64 bytes from 142.250.192.142: icmp_seq=65 ttl=111 time=620 ms
64 bytes from 142.250.192.142: icmp_seq=66 ttl=111 time=146 ms
64 bytes from 142.250.192.142: icmp_seq=67 ttl=111 time=250 ms
64 bytes from 142.250.192.142: icmp_seq=68 ttl=111 time=99.4 ms
64 bytes from 142.250.192.142: icmp_seq=69 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=70 ttl=111 time=95.1 ms
64 bytes from 142.250.192.142: icmp_seq=71 ttl=111 time=93.3 ms
64 bytes from 142.250.192.142: icmp_seq=72 ttl=111 time=97.4 ms
64 bytes from 142.250.192.142: icmp_seq=73 ttl=111 time=91.3 ms
64 bytes from 142.250.192.142: icmp_seq=74 ttl=111 time=203 ms
64 bytes from 142.250.192.142: icmp_seq=75 ttl=111 time=226 ms
64 bytes from 142.250.192.142: icmp_seq=76 ttl=111 time=98.7 ms
64 bytes from 142.250.192.142: icmp_seq=77 ttl=111 time=85.8 ms
64 bytes from 142.250.192.142: icmp_seq=78 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=79 ttl=111 time=92.1 ms
64 bytes from 142.250.192.142: icmp_seq=80 ttl=111 time=91.1 ms
64 bytes from 142.250.192.142: icmp_seq=81 ttl=111 time=94.3 ms
64 bytes from 142.250.192.142: icmp_seq=82 ttl=111 time=76.9 ms
64 bytes from 142.250.192.142: icmp_seq=83 ttl=111 time=76.6 ms
64 bytes from 142.250.192.142: icmp_seq=84 ttl=111 time=77.7 ms
64 bytes from 142.250.192.142: icmp_seq=86 ttl=111 time=83.0 ms
64 bytes from 142.250.192.142: icmp_seq=87 ttl=111 time=92.6 ms
64 bytes from 142.250.192.142: icmp_seq=88 ttl=111 time=186 ms
64 bytes from 142.250.192.142: icmp_seq=89 ttl=111 time=79.3 ms
64 bytes from 142.250.192.142: icmp_seq=90 ttl=111 time=146 ms
64 bytes from 142.250.192.142: icmp_seq=91 ttl=111 time=170 ms
64 bytes from 142.250.192.142: icmp_seq=92 ttl=111 time=76.9 ms
64 bytes from 142.250.192.142: icmp_seq=93 ttl=111 time=115 ms
64 bytes from 142.250.192.142: icmp_seq=94 ttl=111 time=127 ms
64 bytes from 142.250.192.142: icmp_seq=95 ttl=111 time=159 ms
64 bytes from 142.250.192.142: icmp_seq=96 ttl=111 time=184 ms
64 bytes from 142.250.192.142: icmp_seq=97 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=98 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=99 ttl=111 time=90.2 ms
64 bytes from 142.250.192.142: icmp_seq=100 ttl=111 time=96.4 ms
64 bytes from 142.250.192.142: icmp_seq=101 ttl=111 time=194 ms
64 bytes from 142.250.192.142: icmp_seq=102 ttl=111 time=95.3 ms
64 bytes from 142.250.192.142: icmp_seq=103 ttl=111 time=105 ms
64 bytes from 142.250.192.142: icmp_seq=104 ttl=111 time=93.4 ms
64 bytes from 142.250.192.142: icmp_seq=105 ttl=111 time=104 ms
64 bytes from 142.250.192.142: icmp_seq=106 ttl=111 time=111 ms
64 bytes from 142.250.192.142: icmp_seq=107 ttl=111 time=81.0 ms
64 bytes from 142.250.192.142: icmp_seq=108 ttl=111 time=118 ms
64 bytes from 142.250.192.142: icmp_seq=109 ttl=111 time=87.8 ms
64 bytes from 142.250.192.142: icmp_seq=110 ttl=111 time=88.1 ms
64 bytes from 142.250.192.142: icmp_seq=111 ttl=111 time=219 ms
64 bytes from 142.250.192.142: icmp_seq=112 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=113 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=114 ttl=111 time=184 ms
64 bytes from 142.250.192.142: icmp_seq=115 ttl=111 time=90.8 ms
64 bytes from 142.250.192.142: icmp_seq=116 ttl=111 time=100.0 ms
64 bytes from 142.250.192.142: icmp_seq=117 ttl=111 time=150 ms
64 bytes from 142.250.192.142: icmp_seq=118 ttl=111 time=86.5 ms
64 bytes from 142.250.192.142: icmp_seq=119 ttl=111 time=106 ms
64 bytes from 142.250.192.142: icmp_seq=120 ttl=111 time=219 ms
64 bytes from 142.250.192.142: icmp_seq=121 ttl=111 time=140 ms
64 bytes from 142.250.192.142: icmp_seq=122 ttl=111 time=92.1 ms
64 bytes from 142.250.192.142: icmp_seq=123 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=124 ttl=111 time=108 ms
64 bytes from 142.250.192.142: icmp_seq=125 ttl=111 time=97.4 ms
64 bytes from 142.250.192.142: icmp_seq=126 ttl=111 time=102 ms
64 bytes from 142.250.192.142: icmp_seq=127 ttl=111 time=174 ms
64 bytes from 142.250.192.142: icmp_seq=128 ttl=111 time=197 ms
64 bytes from 142.250.192.142: icmp_seq=129 ttl=111 time=108 ms
64 bytes from 142.250.192.142: icmp_seq=130 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=131 ttl=111 time=98.3 ms
64 bytes from 142.250.192.142: icmp_seq=132 ttl=111 time=91.0 ms
64 bytes from 142.250.192.142: icmp_seq=133 ttl=111 time=85.2 ms
64 bytes from 142.250.192.142: icmp_seq=134 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=135 ttl=111 time=98.1 ms
64 bytes from 142.250.192.142: icmp_seq=136 ttl=111 time=97.3 ms
64 bytes from 142.250.192.142: icmp_seq=137 ttl=111 time=77.2 ms
64 bytes from 142.250.192.142: icmp_seq=138 ttl=111 time=93.6 ms
64 bytes from 142.250.192.142: icmp_seq=139 ttl=111 time=82.1 ms
64 bytes from 142.250.192.142: icmp_seq=140 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=141 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=142 ttl=111 time=100 ms
64 bytes from 142.250.192.142: icmp_seq=143 ttl=111 time=99.2 ms
64 bytes from 142.250.192.142: icmp_seq=144 ttl=111 time=153 ms
64 bytes from 142.250.192.142: icmp_seq=145 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=146 ttl=111 time=69.2 ms
64 bytes from 142.250.192.142: icmp_seq=147 ttl=111 time=64.7 ms
64 bytes from 142.250.192.142: icmp_seq=148 ttl=111 time=92.3 ms
